ebéd ,fn ,"~ek, ~et, ~je ",lunch ,5
ecet ,fn ,"~ek, ~et, ~je ",azijn ,5
édes ,mn ,"~ebb, ~en ",zoet ,5
édesség ,fn ,"~ek, ~et, ~e ",zoetigheid ,5
egészség ,fn ,"~ek, ~et, ~e ",gezondheid ,5
egészséges ,mn ,"~ebb, ~en ",gezond ,5
Egészségesen táplálkozom. ,,,Ik eet gezond. ,
egészségtelen ,mn ,"~ebb, ~ül ",ongezond ,5
éhes ,mn ,"~ebb, ~en ",hongerig ,5
Éhes vagyok. ,,,Ik heb honger. ,
"© Szita Szilvia és Pelcz Katalin, www.magyar-ok.hu Holland fordítás: Magdolna Verschoor ",,,,3
,,,MagyarOK 1.: szólista az 5. fejezethez / Woordenlijst Hoofdstuk 5 ,
eladó ,fn ,"~k, ~t, ~ja ",te koop ,5
elegáns ,mn ,"~abb, ~an ",elegant ,5
egy elegáns blúz ,,,een elegante blouse ,
élelmiszer ,fn ,"~ek, ~t, ~e ",etenswaren ,5
előétel ,fn ,"~ek, ~t, ~e ",voorgerecht ,5
elvitel ,fn ,"~t, ~e ",om mee te nemen ,5
Pizzák elvitelre! ,,,Pizza om mee te nemen! ,
energia ,fn ,"~’k, ~’t, ~’ja ",energie ,5
eper ,fn ,"eprek, epret, epre ",aardbei ,5
esetleg ,e ,,misschien ,5
Van esetleg 38-as cipő? ,,,Heeft u de schoenen misschien ook in maat 38? ,
étel ,fn ,"~ek, ~t, ~e ",eten ,5
A magyar ételek fűszeresek. ,,,Het Hongaarse eten is kruidig. ,
étkezés ,fn ,"~ek, ~t, ~e ","maaltijd, eten ",5
étlap ,fn ,"~ok, ~ot, ~ja ",menukaart ,5
Hozok egy étlapot. ,,,Ik breng (u) de menukaart. ,
fagylalt (= fagyi) ,fn ,"~ok, ~ot, ~ja ",ijs(je) ,5
fehér ,mn ,"~ebb, ~en ",wit ,5
Egy fehér sálat veszek. ,,,Ik koop een witte sjaal. ,
